NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
AMICO SAUDE LTDA;HOSPITAL PAULISTANO;Nome;01321-001;741;RUA MARTINIANO DE CARVALHO;BELA VISTA;SAO PAULO;SP;Grande São Paulo;EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / NUTROLOGIA / ANESTESIOLOGIA  / CIRURGIA GERAL  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / NEUROCIRURGIA  / CARDIOLOGIA  / MEDICINA NUCLEAR  / OFTALMOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO / GINECOLOGIA E OBSTETRICIA  / GASTROENTEROLOGIA  / INFECTOLOGIA  / ONCOLOGIA CLÍNICA / COLOPROCTOLOGIA / NEFROLOGIA  / MEDICINA FISICA E REABILITACAO  / CIRURGIA ONCOLÓGICA / CIRURGIA CARDIOVASCULAR  / ENDOSCOPIA / CIRURGIA TORACICA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / HEMATOLOGIA E HEMOTERAPIA / CLÍNICA MÉDICA / CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS / ORTOPEDIA E TRAUMATOLOGIA  / UROLOGIA  / CIRURGIA VASCULAR / OTORRINOLARINGOLOGIA  / MASTOLOGIA  / CIRURGIA PLÁSTICA / RADIOTERAPIA  / FISIOTERAPIA / PNEUMOLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / ANGIOLOGIA / HOMEOPATIA  / CIRURGIA DA MÃO;11;30161000;;;;;9/20/2025 12:00:00 AM
AMICO SAUDE LTDA;51.722.957/0153-76;Nome;05513-000;719;AVENIDA PROFESSOR FRANCISCO MORATO;BUTANTÃ;SAO PAULO;SP;Grande São Paulo;PEDIATRIA  / INFECTOLOGIA  / GASTROENTEROLOGIA  / NEUROLOGIA  / CLÍNICA MÉDICA / ENDOCRINOLOGIA E METABOLOGIA / PNEUMOLOGIA;11;30942300;;;;;9/20/2025 12:00:00 AM
AMICO SAUDE LTDA;HOSPITAL CARLOS CHAGAS;Nome;07012-040;100;RUA BARÃO DE MAUÁ;CENTRO;GUARULHOS;SP;Grande São Paulo;CLÍNICA MÉDICA;;;21;38051000;;;9/20/2025 12:00:00 AM
AMICO SAUDE LTDA;HOSPITAL IPIRANGA ARUJA;Nome;07401-305;100;RUA MELVIN JONES;JARDIM MODELO;ARUJA;SP;Grande São Paulo;NEFROLOGIA  / UROLOGIA  / CLÍNICA MÉDICA / CIRURGIA TORACICA  / CIRURGIA DA MÃO / CARDIOLOGIA  / ONCOLOGIA CLÍNICA / CIRURGIA GERAL  / CIRURGIA CARDIOVASCULAR  / MEDICINA FISICA E REABILITACAO  / ANESTESIOLOGIA  / INFECTOLOGIA  / PNEUMOLOGIA  / GASTROENTEROLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / ENDOCRINOLOGIA E METABOLOGIA / CIRURGIA PEDIATRICA  / PATOLOGIA / NEUROLOGIA  / CIRURGIA VASCULAR / CIRURGIA DO APARELHO DIGESTIVO / GINECOLOGIA E OBSTETRICIA  / ANGIOLOGIA / NUTROLOGIA / OFTALMOLOGIA  / REUMATOLOGIA  / DERMATOLOGIA   / COLOPROCTOLOGIA / ASSISTENTE SOCIAL / MASTOLOGIA  / OTORRINOLARINGOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO / ORTOPEDIA E TRAUMATOLOGIA  / NEUROCIRURGIA  / MEDICINA NUCLEAR  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CIRURGIA PLÁSTICA / CIRURGIA ONCOLÓGICA / PEDIATRIA  / FISIOTERAPIA / ALERGIA E IMUNOLOGIA;11;46527500;;;;;9/20/2025 12:00:00 AM
AMICO SAUDE LTDA;HOSPITAL MARIO LIONI;Nome;25070-420;190;RUA ANA NERI;JARDIM VINTE E CINCO DE AGOSTO;DUQUE DE CAXIAS;RJ;Metropolitana I;NEFROLOGIA  / REUMATOLOGIA  / NEUROCIRURGIA  / OFTALMOLOGIA  / DERMATOLOGIA   / ENDOCRINOLOGIA E METABOLOGIA / CLÍNICA MÉDICA / ALERGIA E IMUNOLOGIA  / GENETICA MÉDICA / NEUROLOGIA  / RADIOTERAPIA  / INFECTOLOGIA  / ANESTESIOLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / GASTROENTEROLOGIA  / GINECOLOGIA E OBSTETRICIA  / PNEUMOLOGIA  / GERIATRIA   / PEDIATRIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / MEDICINA FISICA E REABILITACAO  / PSIQUIATRIA  / CIRURGIA DE CABEÇA E PESCOÇO / CARDIOLOGIA  / CIRURGIA CARDIOVASCULAR  / MEDICINA NUCLEAR  / CIRURGIA DA MÃO;21;38051000;;;;;9/20/2025 12:00:00 AM
AMICO SAUDE LTDA;HOSPITAL PROMATER;Nome;59031-630;1979;RUA SÃO JOSÉ;LAGOA SECA;NATAL;RN;Grande Natal;ANESTESIOLOGIA  / NEUROLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / CIRURGIA CARDIOVASCULAR  / GINECOLOGIA E OBSTETRICIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CIRURGIA TORACICA  / OFTALMOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PNEUMOLOGIA  / DERMATOLOGIA   / USO INTERNO CASSI / ALERGIA E IMUNOLOGIA  / ANGIOLOGIA / CIRURGIA DO APARELHO DIGESTIVO / CLÍNICA MÉDICA / CIRURGIA PLÁSTICA / GASTROENTEROLOGIA  / ONCOLOGIA CLÍNICA / CIRURGIA PEDIATRICA  / CIRURGIA ONCOLÓGICA / REUMATOLOGIA  / MASTOLOGIA  / UROLOGIA  / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / CIRURGIA VASCULAR / PEDIATRIA  / FISIOTERAPIA / CIRURGIA DA MÃO / NEFROLOGIA  / CARDIOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / CIRURGIA GERAL  / PSIQUIATRIA  / COLOPROCTOLOGIA / NEUROCIRURGIA  / OTORRINOLARINGOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO;21;38051000;;;;;9/20/2025 12:00:00 AM
AMICO SAUDE LTDA;HOSPITAL PASTEUR;Nome;20735-040;495;AVENIDA AMARO CAVALCANTI;MÉIER;RIO DE JANEIRO;RJ;Metropolitana I;NEUROCIRURGIA  / GINECOLOGIA E OBSTETRICIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CIRURGIA VASCULAR / CIRURGIA PEDIATRICA  / HEMATOLOGIA E HEMOTERAPIA / CIRURGIA DO APARELHO DIGESTIVO / UROLOGIA  / CIRURGIA GERAL  / CARDIOLOGIA  / ENDOSCOPIA / CLÍNICA MÉDICA / CIRURGIA DE CABEÇA E PESCOÇO / MASTOLOGIA  / PEDIATRIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ANGIOLOGIA / FISIOTERAPIA / ORTOPEDIA E TRAUMATOLOGIA  / FONOAUDIOLOGIA  / COLOPROCTOLOGIA / NEFROLOGIA  / CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS / PNEUMOLOGIA  / CIRURGIA ONCOLÓGICA / CIRURGIA PLÁSTICA / ONCOLOGIA CLÍNICA / USO INTERNO CASSI / CIRURGIA DA MÃO / OTORRINOLARINGOLOGIA  / CIRURGIA TORACICA  / GASTROENTEROLOGIA  / CIRURGIA CARDIOVASCULAR;;;21;21044400;;;9/20/2025 12:00:00 AM
SEISA SERVICOS INTEGRADOS DE SAUDE LTDA;MONTE KLINIKUM DIAGNOSTICO POR IMAGEM;Nome;60160-140;747;RUA REPÚBLICA DO LÍBANO;MEIRELES;FORTALEZA;CE;Fortaleza;CARDIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;85;40120012;;;;;9/20/2025 12:00:00 AM
SEISA SERVICOS INTEGRADOS DE SAUDE LTDA;HOSPITAL MONTE KLINIKUM;Nome;60160-140;747;RUA REPÚBLICA DO LÍBANO;MEIRELES;FORTALEZA;CE;Fortaleza;CIRURGIA DA MÃO / REUMATOLOGIA  / CIRURGIA GERAL  / DERMATOLOGIA   / PEDIATRIA  / CARDIOLOGIA  / CIRURGIA PEDIATRICA  / CIRURGIA ONCOLÓGICA / UROLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / ONCOLOGIA CLÍNICA / ANESTESIOLOGIA  / CIRURGIA PLÁSTICA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / PSIQUIATRIA  / INFECTOLOGIA  / GASTROENTEROLOGIA  / NUTROLOGIA / CIRURGIA VASCULAR / CIRURGIA DO APARELHO DIGESTIVO / MASTOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / ACUPUNTURA  / GINECOLOGIA E OBSTETRICIA  / CIRURGIA TORACICA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / NEFROLOGIA  / MEDICINA FISICA E REABILITACAO  / PATOLOGIA / CIRURGIA DE CABEÇA E PESCOÇO / NEUROCIRURGIA  / ANGIOLOGIA / CLÍNICA MÉDICA / FONOAUDIOLOGIA  / GERIATRIA   / FISIOTERAPIA / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / PNEUMOLOGIA  / NEUROLOGIA  / OFTALMOLOGIA  / OTORRINOLARINGOLOGIA  / COLOPROCTOLOGIA / ENDOCRINOLOGIA E METABOLOGIA;85;40120012;;;;;9/20/2025 12:00:00 AM
CENTRO DE TRATAMENTO INTEGRADO CORPO E MENTE LTDA;CORPO E MENTE;Nome;69065-030;1626;AVENIDA BORBA;CACHOEIRINHA;MANAUS;AM;Entorno de Manaus;NEUROLOGIA  / PSIQUIATRIA  / PSICOLOGIA  / CLÍNICA MÉDICA;92;30856909;;;;;9/19/2025 12:00:00 AM
