NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
EVOLUIREE CENTRO MULTIDISCIPLINAR PARA ANALISE E INTERVENCAO;EVOLUIREE CENTRO MULTIDISCIPLINAR;Nome;19010-170;143;AVENIDA GETÚLIO VARGAS;BOSQUE;PRESIDENTE PRUDENTE;SP;Presidente Prudente;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / FISIOTERAPIA;;;;;18;997325055;12/03/2025 00:00
54.256.563 AMANDA RAQUEL NOVAES GOMES - ME;ESPACO ACOLHER;Nome;56903-440;734;RUA CORONEL CORNÉLIO SOARES;NOSSA SENHORA DA PENHA;SERRA TALHADA;PE;Serra Talhada;PSICOLOGIA  / TERAPIA OCUPACIONAL / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / FONOAUDIOLOGIA;;;;;87;988578212;11/27/2025 12:00:00 AM
GILBERTO RAMALHO FRANCO JUNIOR;;Nome;49026-209;383;AVENIDA HÉLIO DE SOUZA LEÃO;JARDINS;ARACAJU;SE;Região Aracaju;DERMATOLOGIA;;;;;79;981512918;11/26/2025 12:00:00 AM
NAYRA VALDETE ANDRADE VASCONCELOS;NAYRA VALDETE ANDRADE VASCONCELOS;Nome;49015-220;671;CAMPOS;SAO JOSE;ARACAJU;SE;Região Aracaju;PEDIATRIA  / ALERGIA E IMUNOLOGIA;;;;;79;996430470;11/26/2025 12:00:00 AM
CLINICA ENCANTO - DESENVOLVIMENTO INFANTIL LTDA;ENCANTO DESENVOLVIMENTO INFANTIL;Nome;48601-195;915;APOLÔNIO SALES;CENTRO;PAULO AFONSO;BA;Paulo Afonso;PSICOLOGIA;;;;;75;999313915;11/25/2025 12:00:00 AM
VANESSA ROCHA DE SANTANA;VANESSA ROCHA DE SANTANA;Nome;49026-209;383;AVENIDA HÉLIO DE SOUZA LEÃO;JARDINS;ARACAJU;SE;Região Aracaju;CLÍNICA MÉDICA / DERMATOLOGIA;;;;;79;999970785;11/25/2025 12:00:00 AM
CLINICA DE FISIOTERAPIA E HIDROTERAPIA DE CASA FORTE LTDA;FISIOCLINICA PHYSIO CENTER;Nome;52060-590;153;AVENIDA DEZESSETE DE AGOSTO;PARNAMIRIM;RECIFE;PE;Recife;FISIOTERAPIA;81;32689013;;;;;11/25/2025 12:00:00 AM
INEURO INSTITUTO NEUROLOGICO LTDA;INEURO;Nome;77015-558;2;ACSU SO 40 AVENIDA LO 11;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;NEUROLOGIA;;;;;63;991063555;11/25/2025 12:00:00 AM
RECRIAR II ANALISE DO COMPORTAMENTO LTDA;RECRIAR;Nome;77020-490;0;QUADRA ARSE 21 ALAMEDA 1;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA;;;;;63;999723028;11/25/2025 12:00:00 AM
REAL E BENEMERITA ASSOCIACAO PORTUGUESA DE BENEFICENCIA;BP MIRANTE;Fantasia;01321-001;965;RUA MARTINIANO DE CARVALHO;BELA VISTA;SAO PAULO;SP;Grande São Paulo;ANESTESIOLOGIA  / RADIOTERAPIA  / ONCOLOGIA CLÍNICA / CLÍNICA MÉDICA / DERMATOLOGIA   / CIRURGIA GERAL  / OTORRINOLARINGOLOGIA  / MEDICINA NUCLEAR  / NEFROLOGIA  / CARDIOLOGIA  / CANCEROLOGIA / ORTOPEDIA E TRAUMATOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / ANGIOLOGIA E CIRURGIA VASCULAR   / OFTALMOLOGIA  / ANGIOLOGIA / COLOPROCTOLOGIA / UROLOGIA  / PATOLOGIA / CIRURGIA TORACICA  / MEDICINA FISICA E REABILITACAO  / INFECTOLOGIA  / CIRURGIA PEDIATRICA  / PEDIATRIA  / CIRURGIA CARDIOVASCULAR  / CIRURGIA DO APARELHO DIGESTIVO / NEUROCIRURGIA  / CIRURGIA ONCOLÓGICA / NEUROLOGIA  / GERIATRIA   / ENDOSCOPIA / CIRURGIA PLÁSTICA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / REUMATOLOGIA  / CIRURGIA VASCULAR / MEDICINA INTENSIVA / GINECOLOGIA E OBSTETRICIA  / HEMATOLOGIA E HEMOTERAPIA / GASTROENTEROLOGIA  / ALERGIA E IMUNOLOGIA  / MASTOLOGIA  / NUTROLOGIA / ENDOCRINOLOGIA E METABOLOGIA / PNEUMOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO;11;35051000;;;;;11/24/2025 12:00:00 AM
CARDIO DIAGNOSTICO LTDA;CARDIO DIAGNOSTICO;Nome;58032-090;170;RUA ANTÔNIO RABELO JÚNIOR;MIRAMAR;JOAO PESSOA;PB;I Núcleo Regional de Saúde;CARDIOLOGIA;83;32231743;;;;;11/24/2025 12:00:00 AM
ANALISE LABORATORIO LTDA;;Nome;95560-000;482;AVENIDA GENERAL OSORIO;CENTRO;TORRES;RS;CRS 18 Osório;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;51;20500207;;;51;996782221;11/21/2025 12:00:00 AM
L R SERVICOS DE SAUDE LTDA;ESPACO CORPO E MENTE;Nome;77807-130;964;RUA GONÇALVES LÊDO;SÃO JOÃO;ARAGUAINA;TO;Região de Saúde Médio Norte;PSICOLOGIA;;;;;69;992716762;11/21/2025 12:00:00 AM
INSTITUTO AVANTE CENTRO INTERDISCIPLINAR ESPECIALIZADO LTDA;INSTITUTO AVANTE CENTRO INTERDISCIPLINAR ESPECIALI;Nome;14025-420;78;RUA JOÃO GODOY;JARDIM SUMARÉ;RIBEIRAO PRETO;SP;Ribeirão Preto;PSICOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA / FONOAUDIOLOGIA;;;;;16;992733131;11/20/2025 12:00:00 AM
LUIS VALERIANO SANCHEZ HERNANDEZ;;Nome;65750-000;148;AV FRANCISCO JOVITA;;ESPERANTINOPOLIS;MA;Médio Mearim;CLÍNICA MÉDICA;98;21092100;;;98;984667725;11/19/2025 12:00:00 AM
CINDY GARCIA BASTOS;;Nome;65268-000;448;PROJETADA;AREIA BRANCA;CURURUPU;MA;Litoral Ocidental;CLÍNICA MÉDICA;;;;;98;984653473;11/19/2025 12:00:00 AM
ESPACO SER PSICOLOGIA LTDA;ESPACO SER PSICOLOGIA;Nome;77500-000;34;GUILHERMINA GUIMARAES;JARDIM AMERICA;PORTO NACIONAL;TO;Região de Saúde de Porto Nacional;PSICOLOGIA  / FONOAUDIOLOGIA;;;;;63;984790081;11/19/2025 12:00:00 AM
PEDRO THALLES BERNARDO DE CARVALHO NOGUEIRA;PEDRO THALLES BERNARDO DE CARVALHO NOGUEIRA;Nome;57036-510;118;RUA DOUTOR JOSÉ AFFONSO DE MELLO;JATIÚCA;MACEIO;AL;Região 01;CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;;;;;82;999227679;11/19/2025 12:00:00 AM
DHIEMISSON RODRIGUES DA SILVA ARAUJO;DHIEMISSON RODRIGUES DA SILVA ARAUJO;Nome;77025-440;26;QUADRA ARSO 151 QI 26;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;FISIOTERAPIA;;;;;63;991362320;11/19/2025 12:00:00 AM
S D M I SERVICOS DE DIAGNOSTICOS MEDICOS POR IMAGEM LTDA;SONORADI MEDICINA DIAGNOSTICA;Nome;45607-291;395;AVENIDA PRINCESA ISABEL;SÃO CAETANO;ITABUNA;BA;Itabuna;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;73;32111290;;;;;11/19/2025 12:00:00 AM
CONECTAR ESPACO MULTIPROFISSIONAL LTDA;CONECTAR ESPACO MULTIPROFISSIONAL LTDA;Nome;14801-063;1740;AVENIDA 15 DE NOVEMBRO;VILA NOSSA SENHORA DO CARMO;ARARAQUARA;SP;Araraquara;FISIOTERAPIA / NUTRICAO / FONOAUDIOLOGIA  / PSICOLOGIA;;;;;16;999944629;11/19/2025 12:00:00 AM
CENTRO DE TERAPIAS INTEGRADAS;CENTRO DE TERAPIAS INTEGRADAS DESCOBRINDO CAMINHOS;Nome;16050-180;295;RUA NILO PEÇANHA;PARAÍSO;ARACATUBA;SP;Araçatuba;PSICOLOGIA;;;;;18;998152205;11/18/2025 12:00:00 AM
INSTITUTO ISNE INTEGRACAO SENSORIAL E NEURODESENVOLVIMENTO LTDA;INSTITUTO ISNE;Nome;49020-130;85;RUA JOAQUIM GÓES;TREZE DE JULHO;ARACAJU;SE;Região Aracaju;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;;;;79;988362724;11/18/2025 12:00:00 AM
ESPACO MULTIDISCIPLINAR G E G LTDA;ESPACO MULTIDISCIPLINAR G E G LTDA;Nome;12243-690;218;RUA SANTA ELZA;VILA ADYANA;SAO JOSE DOS CAMPOS;SP;Taubaté;PSICOLOGIA  / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / NUTRICAO;12;39436409;;;11;991973513;11/18/2025 12:00:00 AM
LUIZ HENRIQUE RIBEIRO SANTOS LTDA;LUIZ HENRIQUE RIBEIRO SANTOS;Nome;35900-025;51;AVENIDA CARLOS DRUMOND DE ANDRADE;CENTRO;ITABIRA;MG;Itabira;UROLOGIA;;;;;32;988249466;11/17/2025 12:00:00 AM
ESPACO BEM ME QUER CENTRO INTEGRADO DE SAUDE LTDA;ESPACO BEM ME QUER;Nome;96780-072;548;RUA JÚLIO DE CASTILHOS;CENTRO;CAMAQUA;RS;CRS 02 Porto Alegre;FISIOTERAPIA;;;;;51;997252374;11/14/2025 12:00:00 AM
CLINICA ATTIKOS FONOAUDIOLOGIA AVANCADA E MULTIESPECIALIDADES LTDA;CLINICA ATTIKOS;Nome;70070-938;0;SAUS QD 4 BL A S/N;ASA SUL;BRASILIA;DF;Distrito Federal;PSICOLOGIA  / FONOAUDIOLOGIA;;;;;61;998214532;11/13/2025 12:00:00 AM
GC MEDICINA CARDIOLOGICA LTDA;CARDIO PRIME DE PARAISO DO TOCANTINS;Nome;77600-000;470;RUA L3;INTERLAGOS;PARAISO DO TOCANTINS;TO;Região de Saúde do Cantão;CARDIOLOGIA;;;;;63;992090274;11/12/2025 00:00
CLINICA DE PSICOLOGIA CRISTOFANI S S LTDA;CLINICA DE PSICOLOGIA CRISTOFANI;Nome;19023-450;2728;AVENIDA PRESIDENTE WASHINGTON LUIZ;JARDIM PAULISTA;PRESIDENTE PRUDENTE;SP;Presidente Prudente;PSICOLOGIA;18;39063558;;;;;11/12/2025 00:00
PROCARDIO SERVICOS MEDICOS S S LTDA;;Nome;52010-050;119;RUA EPAMINONDAS DE MELO;PAISSANDU;RECIFE;PE;Recife;CARDIOLOGIA;81;32160550;;;;;11/12/2025 00:00
CLINICA BLOOM MULTIDISCIPLINAR LTDA;CLINICA BLOOM;Nome;29101-485;882;RUA CASTELO BRANCO;PRAIA DA COSTA;VILA VELHA;ES;SR Vitória;TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA;27;30308147;;;;;11/12/2025 00:00
CLINICA CASACRIAR LTDA;CASACRIAR;Nome;29620-000;41;JACINTHO DAVID BALDOTTO;COHAB;ITARANA;ES;SR Vitória;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA;;;;;27;992938726;11/11/2025 00:00
VANIA MARIA LACERDA SILVA;VANIA MARIA LACERDA SILVA;Nome;50100-090;200;RUA ALUÍSIO DE AZEVEDO;SANTO AMARO;RECIFE;PE;Recife;PSICOLOGIA;81;32225410;;;;;11/11/2025 00:00
CLINICA DE FISIOTERAPIA E MOVIMENTO DE BOA VIAGEM LTDA;FISIOCLINICA PHYSIO CENTER;Nome;51111-080;2840;RUA DOS NAVEGANTES;BOA VIAGEM;RECIFE;PE;Recife;FONOAUDIOLOGIA  / FISIOTERAPIA;81;30728511;;;81;999399013;11/10/2025 00:00
KF SERVICOS MEDICOS LTDA;KF SERVICOS MEDICO;Nome;89874-000;583;AVENIDA SUL BRASIL;CENTRO;MARAVILHA;SC;São Miguel do Oeste;GERIATRIA;48;39522929;;;49;999850161;11/10/2025 00:00
ADRIANA ARAUJO REGIS DE QUEIROZ;;Nome;74275-227;10;RUA C 178;JARDIM AMÉRICA;GOIANIA;GO;Central;FONOAUDIOLOGIA;;;;;62;981555939;11/10/2025 00:00
BARBARA DE FATIMA ALVES;;Nome;30140-001;84;AVENIDA BRASIL;SANTA EFIGÊNIA;BELO HORIZONTE;MG;Belo Horizonte;PSICOLOGIA;;;;;31;991290027;11/10/2025 00:00
JEAN REGIS HAROLD NGANGOUM SIEWE CLINICA MEDICA LTDA;JEAN REGIS HAROLD NGANGOUM SIEWE CLINICA MEDICA L;Nome;04035-001;2781;RUA DOMINGOS DE MORAIS;VILA MARIANA;SAO PAULO;SP;Grande São Paulo;ORTOPEDIA E TRAUMATOLOGIA;;;;;11;934969661;11/10/2025 00:00
GIOVANNI FABRIZZIO PEDROTTI;;Nome;90520-001;757;AVENIDA PLÍNIO BRASIL MILANO;;PORTO ALEGRE;RS;CRS 01 Porto Alegre;CIRURGIA DA MÃO;51;33339985;;;;;11/07/2025 00:00
CARDIONORTE CONSULTAS E EXAMES EM CARDIOLOGIA LTDA;CARDIONORTE;Nome;36090-330;658;RUA MARÍLIA;BENFICA;JUIZ DE FORA;MG;Juiz de Fora;CARDIOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / ORTOPEDIA E TRAUMATOLOGIA  / PNEUMOLOGIA  / GASTROENTEROLOGIA;32;33216266;;;32;984532070;11/07/2025 00:00
ANA RITA SCHUENDLER PENTEADO;" 	ANA RITA SCHUENDLER PENTEADO";Nome;11050-100;49;RUA GOIÁS;BOQUEIRÃO;SANTOS;SP;Baixada Santista;PSICOLOGIA;;;;;13;991894336;11/07/2025 00:00
GLAUCIA MARIA GANNE LTDA;CLINICARE INSTITUTO;Nome;79330-030;353;RUA SETE DE SETEMBRO;CENTRO;CORUMBA;MS;NCT de Corumbá;ENFERMAGEM;;;;;67;991412269;11/07/2025 00:00
CLINICA NUCLEO TERAPEUTICO LTDA;NUCLEO TERAPEUTICO;Nome;12230-085;108;RUA JOSÉ AUGUSTO DOS SANTOS;FLORADAS DE SÃO JOSÉ;SAO JOSE DOS CAMPOS;SP;Taubaté;NUTRICAO / FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL;;;;;12;992294957;11/07/2025 00:00
MARTA IGLIS DE OLIVEIRA;;Nome;50610-060;232;RUA JANUÁRIO BARBOSA;MADALENA;RECIFE;PE;Recife;INFECTOLOGIA;;;;;81;996441438;11/07/2025 00:00
MARTA IGLIS DE OLIVEIRA;;Nome;52041-050;237;RUA REGUEIRA COSTA;ROSARINHO;RECIFE;PE;Recife;INFECTOLOGIA;81;34274076;81;32445521;;;11/07/2025 00:00
MARCIA BEATRIZ FIGUEIREDO DE ALMEIDA LAGE;MARCIA BEATRIZ FIGUEIREDO DE ALMEIDA LAGE;Nome;11045-002;703;AVENIDA CONSELHEIRO NÉBIAS;BOQUEIRÃO;SANTOS;SP;Baixada Santista;PSICOLOGIA;;;;;13;981946832;11/06/2025 00:00
CLINICA MEDICA DR JOAO GUIMARAES FILHO;CLINICA MEDICA DR JOAO GUIMARAES FILHO;Nome;36770-066;59;RUA JOAQUIM PEIXOTO RAMOS;CENTRO;CATAGUASES;MG;Leopoldina;GASTROENTEROLOGIA  / ENDOSCOPIA;32;34212566;;;32;987039029;11/06/2025 00:00
HOME SAUDE VIDA LTDA;HOME SAUDE VIDA SAO VICENTE;Nome;11310-060;739;RUA FREI GASPAR;CENTRO;SAO VICENTE;SP;Baixada Santista;ANGIOLOGIA / ENDOCRINOLOGIA E METABOLOGIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ORTOPEDIA E TRAUMATOLOGIA  / CARDIOLOGIA  / FISIOTERAPIA / CLÍNICA MÉDICA / GERIATRIA;13;34661851;;;13;989346184;11/06/2025 00:00
APARECIDA MARIA GONCALVES;;Nome;30190-005;479;AVENIDA AUGUSTO DE LIMA;CENTRO;BELO HORIZONTE;MG;Belo Horizonte;PSICOLOGIA;;;;;31;992367170;11/06/2025 00:00
CLINICA MEDICA DAHER LTDA;PROCTOMED;Nome;14400-500;2268;RUA GENERAL CARNEIRO;CENTRO;FRANCA;SP;Franca;COLOPROCTOLOGIA / CIRURGIA GERAL;;;;;19;992890303;11/06/2025 00:00
FLEURY S A;SAO LUCAS CLINICA ITAJAI;Nome;88301-400;110;RUA LAURO MULLER;CENTRO;ITAJAI;SC;Itajaí;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ANESTESIOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;47;32492922;;;;;11/05/2025 00:00
MATEUS CHERULLI NOVAES;;Nome;38740-042;1612;RUA CORONEL RABELO;CENTRO;PATROCINIO;MG;Uberlândia;CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;34;30994445;;;34;988168120;11/05/2025 00:00
FUNDACAO JOSE SILVEIRA;FUNDACAO JOSE SILVEIRA IBR;Nome;40170-010;2947;AVENIDA OCEÂNICA;ONDINA;SALVADOR;BA;Salvador;NEUROLOGIA  / GERIATRIA   / PSIQUIATRIA  / FISIOTERAPIA;71;35045923;71;35045952;;;11/05/2025 00:00
ART PEREIRA LTDA;ESPAÇO DO APRENDER;Nome;28030-035;18;AVENIDA DOUTOR NILO PEÇANHA;PARQUE SANTO AMARO;CAMPOS DOS GOYTACAZES;RJ;Norte;FONOAUDIOLOGIA  / PSICOLOGIA  / FISIOTERAPIA;;;;;22;998359170;11/05/2025 00:00
FLEURY S A;SAO LUCAS BALNEARIO CAMBORIU;Nome;88331-150;1555;AVENIDA DO ESTADO DALMO VIEIRA;PIONEIROS;BALNEARIO CAMBORIU;SC;Balneário Camboriú;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / ANESTESIOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;47;32492922;;;;;11/05/2025 00:00
EQUILIBRIUM - PSICOLOGIA E BEM ESTAR LTDA;EQUILIBRIUM - PSICOLOGIA E BEM ESTAR LTDA;Nome;28895-638;1300;ESTRADA PROFESSOR LEANDRO FARIA SARZEDAS;VILLAGE RIO DAS OSTRAS;RIO DAS OSTRAS;RJ;Baixada Litorânea;TERAPIA OCUPACIONAL / NUTRICAO / FONOAUDIOLOGIA  / PSICOLOGIA;;;;;22;998228356;11/05/2025 00:00
INSTITUTO DE CABECA E PESCOCO DE SAO PAULO ICPSP LTDA;ICP SP;Nome;14025-250;777;RUA ITACOLOMI;ALTO DA BOA VISTA;RIBEIRAO PRETO;SP;Ribeirão Preto;OTORRINOLARINGOLOGIA  / CIRURGIA DE CABEÇA E PESCOÇO;16;39117752;;;16;996175752;11/04/2025 00:00
MOVITTA ESPACO DE DESENVOLVIMENTO INFANTO JUVENIL EIRELI;MOVITTA ESPACO DE DESENVOLVIMENTO INFANTO-JUVENIL;Nome;28623-000;383;CONSELHEIRO JULIUS ARP;CENTRO;NOVA FRIBURGO;RJ;Serrana;PSICOLOGIA  / FISIOTERAPIA / FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL;22;25215049;;;;;11/04/2025 00:00
REUMACLIN MDG SERVICOS MEDICOS LTDA;REUMACLIN;Nome;89820-000;347;CORONEL SANTOS MARINHO;CENTRO;XANXERE;SC;Xanxerê;REUMATOLOGIA;49;33302702;;;49;999109877;11/04/2025 00:00
IEDA M C E SANTO;Fileo Psicologia e Psicopedagogia Piracicaba;Nome;13419-160;546;AVENIDA INDEPENDÊNCIA;CIDADE ALTA;PIRACICABA;SP;Piracicaba;PSICOLOGIA;;;;;19;981422291;11/04/2025 00:00
CRESCER COMPORTAMENTO E DESENVOLVIMENTO HUMANO LTDA;;Nome;29707-100;46;RUA RAQUEL MADERE VITALI;MARISTA;COLATINA;ES;SR Colatina;NUTRICAO / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;;27;31133344;27;995891693;11/04/2025 00:00
ESPACO VIVER CENTRO DE NEURODESENVOLVIMENTO LTDA;ESPACO VIVER;Nome;49680-000;281;MANOEL RAMALHO FEITOSA;;NOSSA SENHORA DA GLORIA;SE;Região Nossa Senhora da Glória;TERAPIA OCUPACIONAL / FISIOTERAPIA / FONOAUDIOLOGIA  / PSICOLOGIA;;;;;79;999864630;11/03/2025 00:00
PAULO MAULTASCH;PAULO MAULTASCH;Nome;20031-901;0;AVENIDA TREZE DE MAIO, 13;CENTRO;RIO DE JANEIRO;RJ;Metropolitana I;PSIQUIATRIA;21;22405450;21;22405266;21;974304701;11/03/2025 00:00
ALLANNA KARLA JERONIMO TERAPEUTA OCUPACIONAL LTDA;Espaço Integrar -Terapia Ocupacional;Nome;13419-220;1392;DOUTOR OTÁVIO TEIXEIRA MENDES;CIDADE ALTA;PIRACICABA;SP;Piracicaba;PSICOLOGIA  / FONOAUDIOLOGIA  / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / TERAPIA OCUPACIONAL;;;;;19;989449977;11/03/2025 00:00
BARBIERO E GHIZONI LTDA;BARBIERO E GHIZONI LTDA;Nome;89801-131;1390;CONDÁ;PRESIDENTE MÉDICI;CHAPECO;SC;Chapecó;DERMATOLOGIA;;;;;49;998220900;11/03/2025 00:00
LUMINA INSTITUTO DE SERVICOS DE PSICOLOGIA E SAUDE LTDA;LUMINA INSTITUTO DE PSICOLOGIA E SAUDE;Nome;79904-642;862;AVENIDA PRESIDENTE VARGAS;CENTRO;PONTA PORA;MS;NCT de Ponta Porã;PSICOLOGIA;;;;;67;999331260;10/31/2025 12:00:00 AM
CLARET SOARES PEREIRA;CLARET SOARES PEREIRA;Nome;35430-232;490;AVENIDA DOM BOSCO;PALMEIRAS;PONTE NOVA;MG;Ponte Nova;MEDICINA DO TRABALHO;;;;;31;996891909;10/31/2025 12:00:00 AM
OLIVEIRA E RAYOL CLINICA EM SAUDE;CLINICA ESTIMULAR;Nome;70673-632;0;CLSW 304 BLOCO B;SETOR SUDOESTE;BRASILIA;DF;Distrito Federal;FONOAUDIOLOGIA  / PSICOLOGIA;;;;;61;993112617;10/31/2025 12:00:00 AM
LARISSA NASCIMENTO RIBEIRO LTDA;LARISSA NASCIMENTO RIBEIRO;Nome;11025-002;1064;AVENIDA DOUTOR PEDRO LESSA;APARECIDA;SANTOS;SP;Baixada Santista;PSICOLOGIA;;;;;13;996598531;10/30/2025 12:00:00 AM
ESSENZIALE CLINICA INTEGRADA LTDA;ESSENZIALE CLINICA INTEGRADA LTDA;Nome;28010-272;458;RUA SALDANHA MARINHO;CENTRO;CAMPOS DOS GOYTACAZES;RJ;Norte;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;22;32420535;;;;;10/30/2025 12:00:00 AM
PREVENCAO PEDIATRIA LTDA;PREVENCAO PEDIATRIA;Nome;89802-280;40;SADY DE MARCO;JARDIM ITÁLIA;CHAPECO;SC;Chapecó;PEDIATRIA  / NUTRICAO;49;33224307;;;49;988273537;10/30/2025 12:00:00 AM
NOVADAPT EDUCACAO E ASSISTENCIA EM SAUDE LTDA;CLINICA NOVADAPT;Nome;49025-740;220;AV DR JOSE MACHADO DE SOUZA;JARDINS;ARACAJU;SE;Região Aracaju;FISIOTERAPIA;79;30856137;;;79;998241288;10/30/2025 12:00:00 AM
ETR DIAGNOSTICO LTDA;ULTRA IMAGEM QUIXERAMOBIM;Fantasia;63800-000;500;25 DE MARCO;MONTEIRO DE MORAIS;QUIXERAMOBIM;CE;Quixadá;MÉDICO GENERALISTA / PEDIATRIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;88;21493572;;;88;996243497;10/30/2025 12:00:00 AM
EXCELENCIA CLINICA EM SAUDE HUMANA LTDA;AME CLINICA;Nome;77016-402;1;ARSO 62 ALAMEDA 2 605 SUL;PLANO DIRETOR SUL;PALMAS;TO;Região de Saúde do Capim Dourado;FISIOTERAPIA / NUTRICAO / PSICOLOGIA;;;;;63;984131440;10/29/2025 12:00:00 AM
ALINE CARLA COSTA DE MORAIS;ALINE CARLA COSTA DE MORAIS;Nome;75940-000;2;DO PONTAL, QUADRA 07;SERAFIM;EDEIA;GO;Centro Sul;PSICOLOGIA;;;;;62;996174418;10/29/2025 12:00:00 AM
MS DIAGNOSTICOS MEDICOS LTDA;MS DIAGNOSTICOS MEDICOS;Nome;79002-073;2530;AVENIDA AFONSO PENA;CENTRO;CAMPO GRANDE;MS;NCT de Campo Grande;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;67;30568282;;;;;10/28/2025 12:00:00 AM
MS DIAGNOSTICOS MEDICOS LTDA;MS DIAGNOSTICOS MEDICOS;Nome;79080-105;2300;AVENIDA PRESIDENTE ERNESTO GEISEL;JARDIM JOCKEY CLUB;CAMPO GRANDE;MS;NCT de Campo Grande;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;67;30568282;;;;;10/28/2025 12:00:00 AM
RAFAELLA FUNGARO BARAGATTI;;Nome;74070-070;59;RUA 6 A;SETOR AEROPORTO;GOIANIA;GO;Central;PEDIATRIA;62;33002012;;;62;998890609;10/28/2025 12:00:00 AM
CENTRO DE DIAGNOSTICO POR IMAGEM PORTO FERREIRA;CENTRO DE DIAGNOSTICO POR IMAGEM PORTO FERREIRA;Nome;13660-047;306;RUA LUIZ GAMA;CENTRO;PORTO FERREIRA;SP;Araraquara;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;;;;19;971433671;10/27/2025 12:00:00 AM
THIAGO RODRIGUES ALVES SILVA LTDA;MEDVIDA;Nome;75640-114;637;RUA JOSÉ ALVES FERREIRA;CENTRO;PIRACANJUBA;GO;Centro Sul;CARDIOLOGIA;;;;;64;992222497;10/27/2025 12:00:00 AM
VIVACLIN CENTRO DE SAUDE INTEGRADO LTDA;VIVACLIN CENTRO DE SAUDE INTEGRADO;Nome;89160-137;353;RUA DOM BOSCO;CENTRO;RIO DO SUL;SC;Rio do Sul;FONOAUDIOLOGIA  / NUTRICAO / FISIOTERAPIA / PSICOLOGIA;48;39522929;;;47;996746179;10/27/2025 12:00:00 AM
HARMONIALY LTDA;HARMONIALY PSICOLOGIA CLINICA;Nome;36010-907;2595;AVENIDA BARÃO DO RIO BRANCO, 2595;CENTRO;JUIZ DE FORA;MG;Juiz de Fora;PSICOLOGIA;;;;;32;998540836;10/27/2025 12:00:00 AM
CLINICA SINTESES LTDA;;Nome;58036-480;700;AV MARIA ROSA;MANAIRA;JOAO PESSOA;PB;I Núcleo Regional de Saúde;CARDIOLOGIA  / CLÍNICA MÉDICA / PSICOLOGIA  / CIRURGIA GERAL  / NUTRICAO / REUMATOLOGIA  / ENDOCRINOLOGIA E METABOLOGIA / CIRURGIA CARDIOVASCULAR;;;;;83;991332382;10/27/2025 12:00:00 AM
CLINICA TUNE ABA LTDA;CLINICA TUNE ABA LTDA;Nome;79130-000;2200;EXPEDICIONARIO HUGO GONCALVES;MORADA DO SOL;RIO BRILHANTE;MS;NCT de Dourados;NUTRICAO / PSICOLOGIA;;;;;68;996787856;10/27/2025 12:00:00 AM
LUCAS BERNARDES FREITAS VAZ DOS SANTOS;;Nome;74230-100;1296;T 63 QD- 145 LT- 08/24;SETOR BUENO;GOIANIA;GO;Central;PEDIATRIA;;;;;62;999639048;10/27/2025 12:00:00 AM
